"Player","Games","Win %","Takedowns","Kills","Assists","Deaths","Kill Participation","KDA","Highest Kill Streak","Vengeances","Time Dead","Time Dead %","Deaths While Outnumbered","Escapes","Team Fight Escapes","Hero Damage","DPM","Physical Damage","Ability Damage","Damage per Death","Team Fight Hero Damage","Siege Damage","Structure Damage","Minion Damage","Summon Damage","Creep Damage","Healing","HPM","Healing per Death","Team Fight Healing","Self Healing","Allied Shields","Clutch Heals","Damage Taken","Damage Soaked","Damage Taken per Death","Team Fight Damage Taken","CC Time","Root Time","Silence Time","Stun Time","Time on Fire","XP Contribution","XPM","Merc Camp Captures","Watch Tower Captures","Aces","Wipes","% of Game with Level Adv.","% of Game with Hero Adv.","Passive XP/Second","Passive XP Gained","Altar Damage Done","Damage to Immortal","Dragon Knights Captured","Shrines Captured","Dubloons Held At End","Dubloons Turned In","Skulls Collected","Shrine Minion Damage","Plant Damage","Seeds Collected","Garden Seeds Collected","Gems Turned In","Nuke Damage","Curse Damage","Time On Temple","Damage Done to Zerg","Cage Unlocks Interrupted","Hero Pool","Damage Ratio","% of Team Damage","% of Team Damage Taken","% of Team Damage Healed","% of Time Slow CC","% of Time Non-Slow CC","Votes","Awards","Award %","MVP","MVP %","Bsteps","Bstep TD","Bstep Deaths","Taunts","Taunt TD","Taunt Deaths","Sprays","Spray TD","Spray Deaths","Dances","Dance TD","Dance Deaths"
"NullPointer","2","0%","1.00","0.00","1.00","3.00","50%","0.33","0.50","0.00","2:13","11%","2.00","0.00","0.00","11411.50","555.74","25892.00","21122.50","3803.83","8222.50","28815.50","2329.00","22161.50","0.00","6314.00","97171.50","4930.11","34010.00","19900.00","0.00","4858.50","3.50","34657.50","26631.50","11552.50","22915.50","00:00","00:00","00:25","00:00","00:00","6242.00","304.36","2.00","0.00","0.00","0.00","1%","4%","22.34","2895.25","0.00","0","0.00","0.50","0","0","0","0","0","0","0","0","0","0","00:00","0","0","1","0.33","5%","12%","35%","0%","2%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"Ender","1","100%","17.00","1.00","16.00","1.00","94%","17.00","14.00","0.00","00:26","3%","1.00","1.00","0.00","8746.00","569.77","10271.00","32532.00","8746.00","4493.00","16807.00","2167.00","12447.00","935.00","19100.00","46531.00","4220.91","64791.00","4055.00","10999.00","7261.00","1.00","24890.00","22149.00","24890.00","11180.00","2:23","00:24","00:00","00:49","00:00","5644.00","367.69","5.00","0.00","0.00","0.00","53%","24%","28.17","7522.64","0","0","0","0","0","0","0","13018.00","0","0","0","0","0","0","00:00","0","0","1","0.35","5%","15%","33%","15%","8%","0","0","0%","0","0%","0","0","0","0","0","0","2","0","0","0","0","0"
"FoKSPAM","15","80%","13.00","1.07","11.87","1.13","95%","11.98","10.67","0.13","00:47","4%","0.87","0.07","0.07","17795.80","950.27","21016.20","25162.13","15927.34","8174.33","18986.60","4525.40","12191.53","965.40","10481.47","73008.20","4121.52","68572.74","12535.27","2021.67","388.80","1.80","21583.33","18102.87","18621.36","12768.27","2:38","00:12","00:11","00:08","00:00","5920.13","326.72","4.67","0.13","0.20","0.00","51%","21%","26.84","7288.60","4.93","796.47","0.07","0.47","0","0","0","660.27","0","0","0","1.33","0","102.20","00:00","0","0","6","0.87","9%","10%","35%","15%","3%","0","0","0%","0","0%","0","0","0","0","0","0","5","0","0","0","0","0"
"Fence","18","94.4%","14.78","0.83","13.94","0.56","95%","14.36","12.83","0.06","00:26","2%","0.17","0.11","0.06","15970.44","917.78","21141.39","23295.06","14706.92","6976.83","19329.28","6379.22","10415.06","839.17","8193.78","68885.33","4073.21","67328.17","7847.78","2657.39","337.44","2.22","15439.00","13579.83","13996.08","7219.06","1:19","00:22","00:01","00:18","00:00","5779.50","341.88","5.72","0.11","0.22","0.00","53%","24%","27.29","7903.04","2.56","375.22","0.00","0.00","0","0","0","1042.83","0","0","0","1.56","0","429.11","00:00","135.17","0.33","3","1.11","9%","8%","38%","9%","4%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"Lumi","17","58.8%","12.18","1.18","11.00","1.12","92%","10.39","8.94","0.00","00:47","4%","0.47","0.29","0.00","18628.41","888.43","23704.29","29266.59","14265.71","7024.12","25684.65","5469.71","16761.00","718.94","9122.88","79593.88","3864.76","64868.75","10570.06","1353.94","153.12","1.76","21203.29","17695.35","15820.50","11617.47","2:08","00:15","00:19","00:12","00:00","6399.41","309.15","4.18","0.12","0.29","0.00","37%","19%","27.98","10017.49","0","1220.18","0.00","0.47","0","0","0","1023.71","0.00","0.00","0.00","2.35","0","238.24","00:00","0","0.24","6","0.97","10%","8%","32%","11%","4%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"Althyne","16","50%","7.63","1.31","6.31","1.25","85%","6.39","6.06","0.06","00:59","5%","0.81","0.56","0.00","22550.31","1064.84","42305.06","33290.25","17913.33","12581.38","31849.44","6246.75","21174.38","1388.69","19808.63","80469.44","3844.51","65192.78","15980.44","1974.88","577.69","1.19","31631.06","27554.63","24712.72","19693.94","10:28","00:07","00:03","00:16","00:00","6850.75","330.02","5.94","0.25","0.19","0.13","21%","12%","25.87","8100.86","0","0","0.00","0.69","0","0","0","3859.69","0","0","0","5.56","0","2323.25","00:00","0.00","0","6","0.80","13%","13%","34%","45%","2%","0","0","0%","0","0%","0","0","0","0","0","0","1","1","0","0","0","0"
"Saeris","12","58.3%","10.33","0.92","9.33","1.75","94%","7.44","8.08","0.00","1:13","6%","0.67","0.17","0.00","21925.75","1123.37","26507.00","35999.42","15373.59","10985.17","29899.92","9239.00","16334.33","962.33","10103.42","74555.33","3829.20","50200.49","12791.00","719.58","639.50","1.17","26925.42","21777.33","16473.08","14462.42","3:00","00:17","00:16","00:11","00:00","6261.33","314.97","4.58","0.00","0.00","0.17","37%","16%","25.66","6523.09","2.67","1891.92","0","0","0","0","0","824.92","0","0","0","1.33","0","0","00:00","33.00","0","6","1.02","11%","11%","32%","14%","4%","0","0","0%","0","0%","0","0","0","0","0","0","24","0","0","0","0","0"
"Siouxz","13","76.9%","11.69","0.85","10.85","1.54","87%","8.40","8.92","0.08","1:05","5%","0.54","0.62","0.08","13549.54","730.64","27695.77","33594.38","9665.78","7474.92","29727.85","8791.23","17540.46","249.62","16385.15","73281.62","3810.98","50217.87","12007.08","2682.92","1439.54","1.54","26272.92","21942.69","16805.51","14047.46","00:12","00:04","00:10","00:05","00:00","6539.15","331.36","6.92","0.00","0.23","0.15","34%","16%","28.03","9992.69","0.31","0","0","0","0","0","0","3028.92","0.00","0.00","0.00","0.08","0","0","00:00","360.77","0.00","4","0.75","7%","11%","32%","1%","2%","0","0","0%","0","0%","0","0","0","0","0","0","1","0","0","0","0","0"
"DBSmiley","19","84.2%","9.47","1.00","8.47","1.21","91%","7.32","7.95","0.05","00:50","4%","0.63","0.26","0.00","20051.32","908.58","37547.63","46491.68","15002.54","8849.26","47790.84","12621.63","30558.05","1143.47","15595.05","79934.26","3754.58","63822.59","13045.11","3218.26","1165.74","0.68","31502.05","27638.63","22963.13","15066.74","6:58","00:08","00:08","00:09","00:00","8801.95","390.61","5.53","0.00","0.16","0.00","36%","17%","27.85","10378.70","0","737.42","0.00","0.26","0","0","0","1194.37","0","0","0","7.47","0","0","00:00","69.32","0.00","12","0.71","10%","13%","31%","33%","2%","0","0","0%","0","0%","0","0","0","1","0","0","1","0","0","0","0","0"
"Delilah","19","47.4%","8.63","0.68","7.89","2.26","90%","4.94","6.84","0.05","1:35","7%","1.05","0.32","0.00","15155.63","694.07","33830.68","33689.42","8147.86","9216.26","35604.47","6798.74","23494.26","801.53","15458.53","76668.37","3639.01","43451.91","14772.21","2457.68","572.42","1.26","35433.21","28987.05","17886.35","21987.32","1:53","00:05","00:07","00:06","00:00","7045.00","326.24","7.26","0.21","0.05","0.16","21%","15%","27.04","9138.55","0.95","1114.32","0","0","0","0","0","1145.53","0.00","0.00","0.00","1.89","0","488.95","00:00","0","0.26","4","0.44","7%","16%","34%","10%","1%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"Apex","7","71.4%","13.43","0.86","12.57","1.43","84%","12.79","9.14","0.00","1:06","6%","0.57","0.00","0.00","20021.43","933.19","32370.29","22032.00","18801.18","11660.00","23514.57","8478.86","12958.71","558.00","10967.00","70109.86","3588.13","67010.21","14192.00","2669.71","1515.57","1.29","24773.00","20284.29","21531.89","15089.57","13:24","00:08","00:15","00:09","00:00","7276.43","349.60","5.43","0.00","0.43","0.14","43%","17%","26.13","8032.69","3.00","0","0","0","0","0","0","1980.57","0","0","0","0","0","0.00","00:00","0","0","4","0.78","9%","11%","31%","58%","3%","0","0","0%","0","0%","0","0","0","0","0","0","2","0","0","0","0","0"
"Andrew","19","68.4%","11.42","0.89","10.53","2.05","93%","7.66","8.42","0.11","1:26","7%","0.84","0.32","0.00","15621.21","808.11","28398.95","34437.53","9585.43","8700.37","37552.84","5451.37","26880.53","1227.89","10056.26","68496.26","3475.40","49020.23","10855.84","1396.47","1524.26","1.32","31018.74","24521.63","18083.64","18940.63","8:33","00:03","00:13","00:13","00:00","7786.26","395.62","4.84","0.05","0.26","0.21","37%","17%","26.22","7873.44","0.47","0","0.00","0.21","0","0","0","1372.53","0","0","0","8.95","0","116.05","00:00","0","0","5","0.53","9%","14%","31%","44%","2%","0","0","0%","0","0%","0","0","0","0","0","0","2","0","0","0","0","0"
"LittleWolf","16","37.5%","7.44","0.69","6.75","1.44","86%","5.92","5.81","0.06","00:56","6%","0.63","0.38","0.06","13178.31","759.39","27401.31","14146.69","9563.82","7686.88","18231.38","3627.88","10088.38","856.75","9581.69","57876.25","3463.56","44452.95","10343.94","1593.00","126.56","1.25","23531.13","19388.25","16908.33","13139.56","2:37","00:04","00:09","00:08","00:00","5386.31","303.70","5.31","0.19","0.06","0.19","20%","10%","24.82","5411.41","1.13","454.13","0","0","0","0","0","529.63","0","0","0","0","0","0.00","00:00","97.19","0.00","7","0.60","9%","12%","31%","16%","2%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"DeBajo","13","15.4%","10.23","1.15","9.00","2.69","89%","5.87","6.85","0.15","1:34","9%","1.38","0.62","0.00","19356.31","1091.87","29528.62","18945.62","9328.04","10116.54","18884.77","3735.85","10616.00","789.54","8786.08","61469.69","3419.19","27128.99","10220.46","355.38","315.46","1.54","33727.38","25631.69","14355.03","19514.23","11:07","00:04","00:25","00:01","00:00","5126.69","290.03","3.54","0.00","0.15","0.23","11%","17%","24.21","5004.96","0","801.69","0","0","0","0","0","468.62","0.00","0.00","0.00","0","0","0","00:00","287.77","0","6","0.60","12%","15%","27%","71%","3%","0","0","0%","0","0%","0","0","0","0","0","0","2","1","0","4","0","0"
"DefiantAngel","15","6.7%","7.67","0.33","7.33","2.07","90%","4.98","5.60","0.07","1:17","7%","0.87","0.40","0.07","14138.13","781.18","17742.40","24028.87","9008.18","8087.00","20237.27","3397.13","13506.53","1381.33","7057.47","61521.00","3409.89","42912.37","12206.87","1335.87","355.80","1.20","26281.73","20212.13","15768.90","15609.80","2:14","00:09","00:14","00:14","00:00","5568.33","298.01","4.00","0.00","0.00","0.13","9%","13%","23.62","4182.23","0.87","737.47","0","0","0","0","0","296.53","0","0","0","1.13","0","0","00:00","298.07","0","8","0.59","9%","12%","28%","12%","4%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"LegaLegaLi","10","20%","4.60","0.10","4.50","1.60","81%","3.52","3.70","0.00","00:55","6%","0.70","0.20","0.00","12185.40","702.43","13556.20","26389.80","9164.27","6335.50","22387.70","5726.40","14492.20","429.40","4736.30","57143.00","3387.85","44743.05","11005.50","684.80","489.50","1.50","19218.40","14863.30","13795.50","12810.00","2:51","00:11","00:15","00:17","00:00","4310.30","251.05","3.30","0.00","0.00","0.40","16%","7%","24.72","5227.72","0.80","835.70","0","0","0","0","0","308.30","0","0","0","1.30","0","0","00:00","88.50","0","5","0.61","8%","11%","30%","18%","4%","0","0","0%","0","0%","0","0","0","0","0","0","5","0","0","0","0","0"
"mZ17","20","60%","9.65","1.10","8.55","1.60","95%","6.74","7.15","0.15","00:58","5%","0.90","0.40","0.20","16403.40","816.95","23569.10","19980.40","11086.14","11030.40","18643.10","4927.05","10420.95","1451.00","8470.70","63206.35","3321.24","44232.32","10465.35","1337.10","423.25","1.05","29664.60","25027.75","19023.01","18189.00","1:12","00:03","00:14","00:09","00:00","6231.40","322.01","4.40","0.25","0.15","0.10","22%","14%","26.14","7423.68","1.10","825.50","0.05","0.45","0","0","0","688.50","0","0","0","2.10","0","480.35","00:00","22.20","0.00","6","0.55","8%","12%","28%","6%","2%","0","0","0%","0","0%","0","0","0","3","0","0","1","0","0","0","0","0"
